source,time,yaw,pitch,roll,altitude,lat,lng,relative_alt,pointing_a,pointing_b,pointing_c
AHRS3,,1.0482439994812012,0.32047104835510254,-0.05087842047214508,790.0,48.5620313,35.099537999999995,,,,
MOUNT_STATUS,,,,,,,,,49.0,-7.0,-438.0
GLOBAL_POSITION_INT,830.5550000000001,,,,,48.5620425,35.099544699999996,733.592,,,
GPS_RAW_INT,830.555,0.0,,,,48.5620226,35.099533099999995,,,,
GPS2_RAW,830.555,0.0,,,,48.5620226,35.099533099999995,,,,
ATTITUDE,830.756,1.0365500450134277,0.32624632120132446,-0.07257503271102905,,,,,,,
AHRS2,,1.1346920728683472,0.3269818425178528,-0.06686687469482422,0.0,0.0,0.0,,,,
AHRS3,,1.0365500450134277,0.32624632120132446,-0.07257503271102905,792.0,48.562057499999995,35.099553799999995,,,,
MOUNT_STATUS,,,,,,,,,49.0,-7.0,-439.0
GLOBAL_POSITION_INT,830.754,,,,,48.562066699999995,35.0995594,734.711,,,
GPS_RAW_INT,830.754,0.0,,,,48.562041199999996,35.0995442,,,,
GPS2_RAW,830.755,0.0,,,,48.562041199999996,35.0995442,,,,
ATTITUDE,831.0310000000001,1.023524522781372,0.3385254740715027,-0.12434215843677521,,,,,,,
AHRS2,,1.1209205389022827,0.33801907300949097,-0.11974549293518066,0.0,0.0,0.0,,,,
AHRS3,,1.023524522781372,0.3385254740715027,-0.12434215843677521,793.0,48.5620836,35.0995695,,,,
MOUNT_STATUS,,,,,,,,,49.0,-7.0,-440.0
GPS_RAW_INT,830.9549999999999,0.0,,,,48.5620597,35.0995552,,,,
GPS2_RAW,830.956,0.0,,,,48.5620597,35.0995552,,,,
GLOBAL_POSITION_INT,830.955,,,,,48.5620931,35.099575,735.895,,,
ATTITUDE,831.291,1.0199064016342163,0.33292484283447266,-0.11357811093330383,,,,,,,
AHRS2,,1.1180355548858643,0.33546537160873413,-0.11179569363594055,0.0,0.0,0.0,,,,
AHRS3,,1.0199064016342163,0.33292484283447266,-0.11357811093330383,794.0,48.5621084,35.0995835,,,,
MOUNT_STATUS,,,,,,,,,49.0,-7.0,-441.0
GPS_RAW_INT,831.1719999999999,0.0,,,,48.562078199999995,35.099565999999996,,,,
GPS2_RAW,831.1719999999999,0.0,,,,48.562078199999995,35.099565999999996,,,,
GLOBAL_POSITION_INT,831.3720000000001,,,,,48.562117799999996,35.0995886,737.003,,,
ATTITUDE,831.575,1.026141881942749,0.32935917377471924,-0.07289138436317444,,,,,,,
AHRS2,,1.125117301940918,0.33213889598846436,-0.0686008408665657,0.0,0.0,0.0,,,,
AHRS3,,1.026141881942749,0.32935917377471924,-0.07289138436317444,795.0,48.562135,35.0995979,,,,
GPS_RAW_INT,831.555,0.0,,,,48.5621156,35.099587,,,,
GPS2_RAW,831.5559999999999,0.0,,,,48.5621156,35.099587,,,,
MOUNT_STATUS,,,,,,,,,49.0,-7.0,-441.0
GLOBAL_POSITION_INT,831.5550000000001,,,,,48.5621447,35.099603099999996,738.177,,,
GPS_RAW_INT,831.7719999999999,0.0,,,,48.5621345,35.0995972,,,,
GPS2_RAW,831.7719999999999,0.0,,,,48.5621345,35.0995972,,,,
ATTITUDE,831.891,1.0408495664596558,0.3124825954437256,-0.050945427268743515,,,,,,,
AHRS2,,1.1395879983901978,0.31583482027053833,-0.04495861008763313,0.0,0.0,0.0,,,,
AHRS3,,1.0408495664596558,0.3124825954437256,-0.050945427268743515,796.0,48.5621655,35.0996143,,,,
GLOBAL_POSITION_INT,831.772,,,,,48.5621691,35.0996162,739.2710000000001,,,
MOUNT_STATUS,,,,,,,,,49.0,-7.0,-441.0
GPS_RAW_INT,831.972,0.0,,,,48.5621535,35.099607299999995,,,,
GPS2_RAW,831.972,0.0,,,,48.5621535,35.099607299999995,,,,
ATTITUDE,832.172,1.0592854022979736,0.3028876483440399,-0.05788078159093857,,,,,,,
AHRS2,,1.1562044620513916,0.3037475347518921,-0.049722254276275635,0.0,0.0,0.0,,,,
AHRS3,,1.0592854022979736,0.3028876483440399,-0.05788078159093857,798.0,48.5621918,35.0996287,,,,
GLOBAL_POSITION_INT,832.172,,,,,48.562195599999995,35.0996307,740.444,,,
MOUNT_STATUS,,,,,,,,,49.0,-7.0,-440.0
GPS_RAW_INT,832.3539999999999,0.0,,,,48.5621918,35.0996278,,,,
GPS2_RAW,832.355,0.0,,,,48.5621918,35.0996278,,,,
